Date/Time,Energy Delivered (Wh)
09/29/2021,"7,110"
09/30/2021,"11,906"
10/01/2021,"11,752"
10/02/2021,"16,110"
10/03/2021,"16,658"
10/04/2021,"20,772"
10/05/2021,"23,967"
10/06/2021,"23,480"
10/07/2021,"22,094"
10/08/2021,"20,779"
10/09/2021,"21,527"
10/10/2021,"8,586"
10/11/2021,"4,965"
10/12/2021,"6,052"
10/13/2021,"5,524"
10/14/2021,"13,376"
10/15/2021,"16,883"
10/16/2021,"21,919"
10/17/2021,"25,745"
10/18/2021,"24,846"
10/19/2021,"12,763"
10/20/2021,"17,275"
10/21/2021,"17,569"
10/22/2021,"18,454"
10/23/2021,"23,371"
10/24/2021,"20,037"
10/25/2021,"24,965"
10/26/2021,"24,711"
10/27/2021,"22,201"
10/28/2021,"19,117"
10/29/2021,"22,044"
10/30/2021,"19,464"
10/31/2021,"22,908"
11/01/2021,"16,493"
11/02/2021,"26,038"
11/03/2021,"20,408"
11/04/2021,"6,904"
11/05/2021,"7,897"
11/06/2021,"24,092"
11/07/2021,"6,313"
11/08/2021,"7,351"
11/09/2021,"13,046"
11/10/2021,"2,970"
11/11/2021,"3,737"
11/12/2021,"6,768"
11/13/2021,"11,803"
11/14/2021,"21,756"
11/15/2021,"24,658"
11/16/2021,"28,001"
11/17/2021,"21,628"
11/18/2021,"24,631"
11/19/2021,"7,771"
11/20/2021,"3,872"
11/21/2021,"4,521"
11/22/2021,"18,888"
11/23/2021,"14,551"
11/24/2021,"15,328"
11/25/2021,"11,948"
11/26/2021,"4,520"
11/27/2021,"9,445"
11/28/2021,"8,455"
11/29/2021,"19,428"
11/30/2021,"12,557"
12/01/2021,"12,865"
12/02/2021,"24,201"
12/03/2021,"17,466"
12/04/2021,"5,327"
12/05/2021,"5,073"
12/06/2021,"8,850"
12/07/2021,"19,024"
12/08/2021,"4,172"
